date,open,high,low,close,volume
2018-01-02,4.828970391796319,4.920725679611751,4.79739922619244,4.917025566101074,355616000.0
2018-01-03,5.034187809275287,5.270974939410014,5.025554991711063,5.240636348724365,914704000.0
2018-01-04,5.321783927642119,5.378267473924456,5.246061199726822,5.2682600021362305,583268000.0
2018-01-05,5.283060704235155,5.3501501614380835,5.206351418828045,5.312905788421631,580124000.0
2018-01-08,5.436232596375194,5.549692755787042,5.391341473561443,5.475697040557861,881216000.0
2018-01-09,5.481121759840608,5.520586193303134,5.392820054684219,5.474215507507324,497000000.0
2018-01-10,5.3819687309479125,5.520587793610505,5.327705236820333,5.517134666442871,582664000.0
2018-01-11,5.549691790161697,5.581016916627212,5.505540698045821,5.5269999504089355,406032000.0
2018-01-12,5.5151619022263745,5.549446658347346,5.459418358837358,5.499869346618652,359916000.0
2018-01-16,5.526261070695698,5.611602710580234,5.344724433307752,5.429079532623291,702348000.0
2018-01-17,5.443631043911312,5.552651518824776,5.349903121083364,5.54278564453125,538408000.0
2018-01-18,5.523547156319014,5.590143580389749,5.492469013267313,5.535880088806152,408632000.0
2018-01-19,5.62590689433937,5.699902587922885,5.599021908382469,5.6757307052612305,609380000.0
2018-01-22,5.683623923825004,5.765759403905469,5.6261538336060335,5.76403284072876,550944000.0
2018-01-23,5.817310281065666,5.915478343550291,5.798811589921604,5.892786502838135,475228000.0
2018-01-24,5.895993134251916,5.931757932087007,5.760580690221696,5.816077709197998,579972000.0
2018-01-25,5.870341706983181,5.913506267896078,5.814845153664646,5.829644203186035,409884000.0
2018-01-26,5.873301028435057,6.002053730327495,5.860475061745394,6.00180721282959,516356000.0
2018-01-29,5.987255503575934,6.119708338361881,5.934718571671923,6.088629722595215,455116000.0
2018-01-30,5.947050609360371,6.078023388684311,5.88045418520516,5.986761569976807,570832000.0
2018-01-31,6.061989812636716,6.148318444116083,6.029431628920219,6.062729835510254,478576000.0
2018-02-01,5.883166223302606,6.0898617123392205,5.8718203038183265,5.932003498077393,519224000.0
2018-02-02,5.845675610720848,5.869600979057125,5.701876883222296,5.75984001159668,718464000.0
2018-02-05,5.599022589485811,5.752687189838002,5.056385869019509,5.270974159240723,1165204000.0
2018-02-06,5.041587188137092,5.566957843669648,5.0317208428353695,5.563998222351074,1114800000.0
2018-02-07,5.662659404856215,5.79560525767963,5.591623317199242,5.643420219421387,802932000.0
2018-02-08,5.7687204549270295,5.801771678249629,5.364949240065885,5.365196228027344,1144000000.0
2018-02-09,5.876508327451299,5.89229391732831,5.365196633696778,5.724323272705078,1674604000.0
2018-02-12,5.805225365688938,5.808185457886176,5.550433030499788,5.624428749084473,1093172000.0
2018-02-13,5.588169427876423,5.784012030050489,5.5558577625449335,5.737887859344482,625524000.0
2018-02-14,5.697685648370116,5.983556636155579,5.6865862421085795,5.954698085784912,744988000.0
2018-02-15,6.037819984981844,6.126121727244664,5.957164521080183,6.079997539520264,698900000.0
2018-02-16,6.052863594141594,6.166323724861527,6.005259379277146,6.01438570022583,637656000.0
2018-02-20,6.0368315366604435,6.212448425008004,6.033131422201149,6.143632411956787,686240000.0
2018-02-21,6.208007977589469,6.214914229774236,5.953215258192458,5.956914901733398,892292000.0
2018-02-22,5.9907291074539275,6.062302685013316,5.911010689034174,5.976414203643799,534364000.0
2018-02-23,6.036141816174472,6.06970739364624,5.985546543870526,6.06970739364624,415300000.0
2018-02-26,6.115858012207493,6.1203004373404974,6.023552354712518,6.085747718811035,469312000.0
2018-02-27,6.059095894870027,6.143257235699063,6.0499643684418904,6.072917461395264,455436000.0
2018-02-28,6.0837750668917785,6.123264036362615,5.9611124025141065,5.972712516784668,523116000.0
2018-03-01,5.9704900571951,6.0242939219818235,5.630144306167082,5.731088161468506,1040120000.0
2018-03-02,5.623728079531313,5.844373156399444,5.475397537269043,5.837955951690674,913428000.0
2018-03-05,5.787853502345341,5.8554784572158525,5.664697046299793,5.8159894943237305,620776000.0
2018-03-06,5.901138538474955,5.99591234882591,5.858194295412294,5.976661205291748,636808000.0
2018-03-07,5.873988135737481,6.020838145115512,5.872754311705002,5.968761920928955,581208000.0
2018-03-08,5.996157881288934,5.996157881288934,5.908294633822878,5.952473163604736,411912000.0
2018-03-09,5.999858682764769,6.067730294662885,5.9838166184539885,6.054896831512451,505524000.0
2018-03-12,6.096114908568405,6.244198290359063,6.087970068367301,6.164233207702637,605060000.0
2018-03-13,6.206931239835149,6.281220077738094,6.07242179704679,6.113638401031494,619772000.0
2018-03-14,6.156583534990063,6.183732380643078,6.07686510547297,6.1390604972839355,505496000.0
2018-03-15,6.15263389729927,6.234819962080704,6.111910635589565,6.153867721557617,401952000.0
2018-03-16,6.170156714334644,6.201007497906318,6.132642056064475,6.182003498077393,399456000.0
2018-03-19,6.125238435700395,6.1541144427405,5.849309007901929,5.948031425476074,713772000.0
2018-03-20,5.950993641898183,6.198540435502222,5.950993641898183,6.159791946411133,554696000.0
2018-03-21,6.153373231955915,6.219517691114243,6.1042589350562935,6.134616374969482,438688000.0
2018-03-22,6.071434225556255,6.117833735683708,5.931741883046754,5.9690093994140625,551196000.0
2018-03-23,5.9825845191133915,5.9850526385466,5.738740156358445,5.749846458435059,735620000.0
2018-03-26,5.873989167747682,6.03515363549803,5.822160075858112,6.033919811248779,611424000.0
2018-03-27,6.1146243917264735,6.17015588887546,5.4260352393156515,5.565974235534668,1409000000.0
2018-03-28,5.531669639416001,5.661489523753892,5.35569690909767,5.463057518005371,945904000.0
2018-03-29,5.531174174623569,5.812286451836281,5.447013349214397,5.715785503387451,916628000.0
2018-04-02,5.645446991905177,5.791309405666721,5.368036597236471,5.455652713775635,922092000.0
2018-04-03,5.622247244965913,5.685182639429229,5.4630570809028605,5.561779499053955,667432000.0
2018-04-04,5.306581299585368,5.594110820550993,5.281653908568248,5.583745002746582,789168000.0
2018-04-05,5.641991241895627,5.655071849370176,5.39247019266676,5.463797092437744,701240000.0
2018-04-06,5.361370571437026,5.469224940462609,5.258699109623449,5.287822246551514,662988000.0
2018-04-09,5.35076046997515,5.478359371517432,5.296462784619328,5.3164544105529785,499524000.0
2018-04-10,5.546230591759072,5.6518635522267235,5.489218120557853,5.624961853027344,761676000.0
2018-04-11,5.610153359377357,5.651369959907921,5.551166583719694,5.583745002746582,460244000.0
2018-04-12,5.676545102861869,5.807845957473086,5.632366562689012,5.790075778961182,593920000.0
2018-04-13,5.853504372510021,5.86189588403577,5.665438199778203,5.713565349578857,503036000.0
2018-04-16,5.720229848145394,5.746638209886328,5.619285969617158,5.713319301605225,350792000.0
2018-04-17,5.765395109678466,5.883862016405811,5.70986360004201,5.862636566162109,447224000.0
2018-04-18,5.812287189769074,5.9048395365535855,5.744909375055191,5.833759307861328,391364000.0
2018-04-19,5.719735104302074,5.753054007156208,5.5975662645825155,5.65285062789917,471996000.0
2018-04-20,5.64421243710298,5.728373276907721,5.613608794921182,5.6447062492370605,386200000.0
2018-04-23,5.662475932895828,5.713564536155137,5.499583847186107,5.525498390197754,427508000.0
2018-04-24,5.551167715232185,5.646928214098621,5.394198979811333,5.45935583114624,414596000.0
2018-04-25,5.42973851030669,5.468734138552372,5.190336572729784,5.3473052978515625,588492000.0
2018-04-26,5.5087160762706295,5.5667157025196055,5.442818750768528,5.558570861816406,375824000.0
2018-04-27,5.66420402844602,5.683948511019761,5.543762355224279,5.585966110229492,400848000.0
2018-04-30,5.602255909765012,5.651864027486285,5.531422812333573,5.550673484802246,327844000.0
2018-05-01,5.54252783597705,5.608671820767293,5.484034407669387,5.60595703125,253788000.0
2018-05-02,5.602502275922489,5.6469270071822075,5.5593108980859665,5.585472583770752,268248000.0
2018-05-03,5.617310565547473,5.776500717117908,5.572144880373844,5.750339031219482,443144000.0
2018-05-04,5.721709946592055,5.903359377958248,5.704433582860858,5.900150775909424,400660000.0
2018-05-07,6.004550480167392,6.1945914406877725,5.994678002389146,6.137578964233398,687616000.0
2018-05-08,6.137826112103173,6.182745136293116,6.088958473091492,6.180030345916748,506616000.0
2018-05-09,6.200019779667379,6.31503139243186,6.172870941958519,6.312809944152832,596760000.0
2018-05-10,6.365627858101965,6.4293037385316465,6.347857680745201,6.420172214508057,994080000.0
2018-05-11,6.238768152818595,6.411779381119491,6.183483795652961,6.281959056854248,1214456000.0
2018-05-14,6.319967962252316,6.3796952200504125,6.278751362181617,6.3024444580078125,523140000.0
2018-05-15,6.239014372432745,6.2417296325577265,5.960370217016856,6.060573577880859,963528000.0
2018-05-16,6.02207338246265,6.133629742702751,5.985299203823298,6.071681499481201,553828000.0
2018-05-17,6.073408950623425,6.207177910542902,6.057366410452623,6.113638401031494,519784000.0
2018-05-18,6.165466756633866,6.228648809864714,6.065016250284316,6.069952487945557,483716000.0
2018-05-21,6.167197013150669,6.170898957596769,5.935445593462679,6.027997970581055,640624000.0
2018-05-22,6.041324076730589,6.066498139443173,5.929520583332928,5.989988327026367,518264000.0
2018-05-23,5.933929030106493,6.114456226925811,5.9331880892692,6.113221168518066,442956000.0
2018-05-24,6.1095167734599265,6.15915556891217,6.056420568216453,6.116925239562988,437372000.0
2018-05-25,6.129519836755912,6.172490632698799,6.093957977403313,6.156191349029541,292112000.0
2018-05-29,6.1381647626251565,6.207066616853725,6.092477487474644,6.139152526855469,352684000.0
